Candidate,Support,Neutral,Oppose
Dariusz Jemielniak – User:Pundit,2028,2583,556
James Heilman – User:Doc James,1857,2732,578
Denny Vrandečić – User:Denny,1628,2995,544
María Sefidari – User:Raystorm,2184,2208,775
Phoebe Ayers – User:Phoebe,1955,2498,714
Mike Nicolaije – User:Taketa,1524,3076,567
Peter Gallert – User:Pgallert,1467,3046,654
Cristian Consonni – User:CristianCantoro,1381,3150,636
Tim Davenport – User:Carrite,1571,2871,725
Samuel Klein – User:Sj,1330,3111,726
David Conway – User:Smerus,1192,3232,743
Josh Lim – User:Sky Harbor,1069,3386,712
Ali Haidar Khan (Tonmoy) – User:Ali Haidar Khan,1134,3231,802
Edward Saperia – User:EdSaperia,1109,3205,853
Mohamed Ouda – User:Mohamed Ouda,1112,3198,857
Sailesh Patnaik – User:Saileshpat,1010,3150,1007
Syed Muzammiluddin – User:Hindustanilanguage,816,3491,860
Nisar Ahmed Syed – User:అహ్మద్ నిసార్,735,3481,951
Houcemeddine Turki – User:Csisc,590,3449,1128
Pete Forsyth - User:Peteforsyth (candidate has withdrawn),108,4620,439
Francis Kaswahili Kaguna – User:Francis Kaswahili,386,3206,1575
